,category,law_id,law_length,key_count_json,pdf_missing,key_count_training,loss
0,emergency,(Algeria 2020)_02,114638,9,False,0,9
1,pcc_code,(Algeria 2001)_01,95194,31,False,12,19
2,cybersecurity,(Thailand 2016)_01,0,0,True,0,0
3,emergency,(South Africa 2021)_01,4066,0,False,0,0
4,pcc_code,(Algeria 2014)_01,117663,33,False,5,28
5,cybersecurity,(Azerbaijan 1998)_01,48634,9,False,8,1
6,cybersecurity,(Malawi 2017)_02,137308,7,False,7,0
7,cybersecurity,(Myanmar 2021)_01,8779,4,False,4,0
8,emergency,(Philippines 2020)_02,32250,1,False,0,1
9,emergency,(Botswana 2020)_02,3493,0,False,0,0
10,cybersecurity,(Côte d_Ivoire 2013)_01,47094,10,False,3,7
11,pcc_code,(Rwanda 2018)_02,723305,6,False,6,0
12,cybersecurity,(Venezuela 2001)_01,20597,2,False,2,0
13,cybersecurity,(Oman 2011)_01,26395,10,False,10,0
14,emergency,(Lesotho 2020)_01,4330,1,False,0,1
15,press,(Poland 1992)_01,218672,20,False,19,1
16,general,(Poland 2016)_01,5498,0,False,0,0
17,pcc_code,(El Salvador 1997)_01,297545,9,False,9,0
18,press,(Uganda 2013)_01,87950,0,False,0,0
19,general,(Venezuela 2012)_01,86901,7,False,6,1
20,cybersecurity,(Vietnam 2018)_01,74935,16,False,6,10
21,cybersecurity,(El Salvador 2024)_02,73865,5,False,5,0
22,pcc_code,(Malawi 1930)_01,328506,6,False,6,0
23,general,(Australia 2018)_02,150219,2,False,1,1
24,emergency,(Taiwan 2020)_01,7,1,False,0,1
25,pcc_code,(El Salvador 2022)_01,9467,2,False,2,0
26,general,(Ethiopia 2019)_01,273681,8,False,8,0
27,pcc_code,(Algeria 2020)_01,16697,36,False,15,21
28,general,(Venezuela 2017)_01,20823,21,False,20,1
29,press,(Malaysia 1998)_01,224492,15,False,15,0
30,emergency,(Lesotho 2021)_01,70,1,False,0,1
31,press,(Fiji 2022)_01,2625,1,False,1,0
32,general,(Poland 2011)_01,279848,4,False,4,0
33,emergency,(Botswana 2020)_03,7220,0,False,0,0
34,press,(Laos 2008)_01,54061,13,False,13,0
35,digital_age,(Tanzania 2018)_01,24282,12,False,12,0
